


sterlicht.nl: 2014-11-05 14:37:49 [access] ip: 207.46.13.55, browser --> www.sterlicht.nl/slAb001_jupiter.html
sterlicht.nl: 2014-11-05 16:27:08 [access] ip: 157.55.39.181, browser --> www.sterlicht.nl/astroblogs/slAb005_andromeda.html
sterlicht.nl: 2014-11-05 18:12:10 [access] ip: 157.55.39.55, browser --> www.sterlicht.nl/slAb022_saturnus.html
sterlicht.nl: 2014-11-05 23:46:02 [access] ip: 66.249.67.12, browser --> www.sterlicht.nl/astroblogs/slAb050_magelhaense_wolken.html
sterlicht.nl: 2014-11-06 00:31:33 [access] ip: 207.46.13.134, browser --> www.sterlicht.nl/slAb052_vier_planeten.html
sterlicht.nl: 2014-11-06 00:31:55 [access] ip: 66.249.67.12, browser --> www.sterlicht.nl/astroblogs/slAb023_wassende_maan.html
sterlicht.nl: 2014-11-06 00:37:21 [access] ip: 207.46.13.55, browser --> www.sterlicht.nl/slAb066_missie_maan.html
sterlicht.nl: 2014-11-06 01:00:38 [access] ip: 207.46.13.134, browser --> www.sterlicht.nl/introduction.html
sterlicht.nl: 2014-11-06 01:22:44 [access] ip: 66.249.67.2, browser --> www.sterlicht.nl/astroblogs/slAb007_pegasus.html



sterlicht.nl: 2014-11-06 02:19:06 [initialization] application restarted
sterlicht.nl: 2014-11-06 02:19:06 [initialization] table users already exists
sterlicht.nl: 2014-11-06 02:19:06 [access] ip: 66.249.67.12, browser --> www.sterlicht.nl/astroblogs/slAb055_venus_klein.html
sterlicht.nl: 2014-11-06 03:15:36 [access] ip: 207.46.13.134, browser --> www.sterlicht.nl/slAb067_de_mooiste_planeet.html
sterlicht.nl: 2014-11-06 03:23:56 [access] ip: 66.249.67.2, browser --> www.sterlicht.nl/
sterlicht.nl: 2014-11-06 03:26:40 [access] ip: 66.249.67.12, browser --> www.sterlicht.nl/astroblogs/slAb032_ringnevel.html
sterlicht.nl: 2014-11-06 04:03:35 [access] ip: 66.249.67.2, browser --> www.sterlicht.nl/astrosketches.html
sterlicht.nl: 2014-11-06 05:11:48 [access] ip: 66.249.67.2, browser --> www.sterlicht.nl/astroblogs/slAb050_magelhaense_wolken.html
sterlicht.nl: 2014-11-06 06:25:44 [access] ip: 66.249.67.2, browser --> www.sterlicht.nl/astroblogs/slAb023_wassende_maan.html
sterlicht.nl: 2014-11-06 06:38:07 [access] ip: 207.46.13.134, browser --> www.sterlicht.nl/slAb045_mars_alh.html
sterlicht.nl: 2014-11-06 07:13:48 [access] ip: 66.249.67.12, browser --> www.sterlicht.nl/
sterlicht.nl: 2014-11-06 07:17:01 [access] ip: 66.249.67.2, browser --> www.sterlicht.nl/astroblogs/slAb055_venus_klein.html
sterlicht.nl: 2014-11-06 07:27:08 [access] ip: 157.55.39.50, browser --> www.sterlicht.nl/slAb050_magelhaense_wolken.html
sterlicht.nl: 2014-11-06 08:05:38 [access] ip: 66.249.67.2, browser --> www.sterlicht.nl/astroblogs/slAb065_m33_wintersport.html
sterlicht.nl: 2014-11-06 08:15:57 [access] ip: 66.249.67.12, browser --> www.sterlicht.nl/
sterlicht.nl: 2014-11-06 08:16:13 [access] ip: 66.249.67.2, browser --> www.sterlicht.nl/
sterlicht.nl: 2014-11-06 09:09:21 [access] ip: 66.249.67.20, browser --> www.sterlicht.nl/astroblogs/slAb007_pegasus.html
sterlicht.nl: 2014-11-06 12:03:18 [access] ip: 157.55.39.180, browser --> www.sterlicht.nl/astroblogs/slAb013_m37.html
sterlicht.nl: 2014-11-06 12:28:41 [access] ip: 157.55.39.49, browser --> www.sterlicht.nl/slAb010_oude_reuzen.html
sterlicht.nl: 2014-11-06 12:41:09 [access] ip: 157.55.39.161, browser --> www.sterlicht.nl/slAb036_m27.html
